Location,TimeFrame,DataFormat,Data,Fips,percent
University Heights,2014,Percent,0.4251,205,42.51
Borough Park,2014,Percent,0.40924,312,40.924
Brownsville,2014,Percent,0.39497,316,39.497
Howard Beach,2014,Percent,0.38484,410,38.484
Concourse/Highbridge,2014,Percent,0.3762,204,37.62
Flushing,2014,Percent,0.3651,407,36.51
St. George,2014,Percent,0.35562,501,35.562
Fresh Meadows/Briarwood,2014,Percent,0.35559,408,35.559
Elmhurst/Corona,2014,Percent,0.35542,404,35.542
Jamaica/St. Albans,2014,Percent,0.35376,412,35.376
Williamsbridge,2014,Percent,0.35094,212,35.094
East Tremont,2014,Percent,0.3485,206,34.85
Morrisania,2014,Percent,0.3485,203,34.85
Sunset Park,2014,Percent,0.34693,307,34.693
Crown Heights South,2014,Percent,0.3423,309,34.23
Bedford Park,2014,Percent,0.34101,207,34.101
Bay Ridge,2014,Percent,0.33535,310,33.535
Unionport/Soundview,2014,Percent,0.3327,209,33.27
Jackson Heights,2014,Percent,0.33165,403,33.165
East Flatbush,2014,Percent,0.33054,317,33.054
Bensonhurst,2014,Percent,0.32968,311,32.968
Hunts Point,2014,Percent,0.328,202,32.8
Mott Haven,2014,Percent,0.328,201,32.8
Tottenville,2014,Percent,0.32753,503,32.753
Flatbush/Midwood,2014,Percent,0.32175,314,32.175
Sheepshead Bay,2014,Percent,0.31653,315,31.653
Queens Village,2014,Percent,0.31355,413,31.355
The Rockaways,2014,Percent,0.31119,414,31.119
Woodhaven,2014,Percent,0.30711,409,30.711
Coney Island,2014,Percent,0.30584,313,30.584
Riverdale,2014,Percent,0.30473,208,30.473
Williamsburg/Greenpoint,2014,Percent,0.30047,301,30.047
Bushwick,2014,Percent,0.29859,304,29.859
Pelham Parkway,2014,Percent,0.29655,211,29.655
East New York,2014,Percent,0.29557,305,29.557
Washington Heights,2014,Percent,0.2949,112,29.49
Bedford Stuyvesant,2014,Percent,0.29214,303,29.214
Canarsie,2014,Percent,0.2884,318,28.84
Crown Heights North,2014,Percent,0.28201,308,28.201
Manhattanville,2014,Percent,0.27812,109,27.812
Central Harlem,2014,Percent,0.26947,110,26.947
Ridgewood/Glendale,2014,Percent,0.26873,405,26.873
Sunnyside/Woodside,2014,Percent,0.26812,402,26.812
South Beach,2014,Percent,0.26326,502,26.326
Bayside,2014,Percent,0.25121,411,25.121
Rego Park/Forest Hills,2014,Percent,0.23609,406,23.609
Astoria,2014,Percent,0.23212,401,23.212
East Harlem,2014,Percent,0.22808,111,22.808
Throgs Neck,2014,Percent,0.2027,210,20.27
Midtown Business District,2014,Percent,0.18774,105,18.774
Chelsea/Clinton,2014,Percent,0.18774,104,18.774
Greenwich Village,2014,Percent,0.18224,102,18.224
Battery Park/Tribeca,2014,Percent,0.18224,101,18.224
Fort Greene/Brooklyn Hts,2014,Percent,0.17776,302,17.776
Lower East Side,2014,Percent,0.17768,103,17.768
Murray Hill/Stuyvesant,2014,Percent,0.17199,106,17.199
Upper West Side,2014,Percent,0.16801,107,16.801
Park Slope,2014,Percent,0.16327,306,16.327
Upper East Side,2014,Percent,0.16309,108,16.309
